Generation,TotalOrganisms,AverageFitness,FitnessVariance,SelectedGenes,NeutralGenes,NeutralDiversity,SelectedDiversity
0,1,1.000000,0.000000,3,7,0.000000,0.000000
1,2,1.000000,0.000000,6,14,0.000000,0.000000
2,2,1.000000,0.000000,6,14,0.000000,0.000000
3,4,1.000000,0.000000,12,28,1.357143,0.000000
4,6,1.000000,0.000000,18,42,1.137050,0.000000
5,8,1.000000,0.000000,24,56,1.373377,0.000000
6,11,1.000000,0.000000,33,77,1.547163,0.000000
7,19,1.000000,0.000000,57,133,1.619959,0.000000
8,31,0.999557,0.000006,93,217,1.879032,0.064516
9,51,0.999249,0.000009,153,357,2.030230,0.312521
10,80,0.998900,0.000013,240,560,2.168387,0.470502
11,120,0.998875,0.000013,360,840,2.422757,0.624017
12,177,0.998334,0.000019,531,1239,2.665504,0.816907
13,265,0.998197,0.000021,795,1855,2.820500,0.894039
14,395,0.997815,0.000026,1185,2765,3.018383,1.162677
15,584,0.997581,0.000028,1752,4088,3.113237,1.365759
16,848,0.997422,0.000029,2544,5936,3.335511,1.503503
17,1000,0.997396,0.000032,3000,7000,3.519024,1.556513
18,1000,0.996958,0.000037,3000,7000,3.693949,1.692524
19,1000,0.996613,0.000041,3000,7000,3.849974,1.811919
20,1000,0.996430,0.000042,3000,7000,3.974766,1.934687
21,1000,0.996331,0.000046,3000,7000,4.139827,2.119083
22,1000,0.995972,0.000051,3000,7000,4.196488,2.274512
23,1000,0.995603,0.000058,3000,7000,4.304268,2.494656
24,1000,0.995181,0.000064,3000,7000,4.541253,2.762696
25,1000,0.995218,0.000063,3000,7000,4.577025,2.786348
26,1000,0.995015,0.000066,3000,7000,4.775740,2.855801
27,1000,0.994923,0.000070,3000,7000,4.923909,3.059000
28,1000,0.994509,0.000075,3000,7000,5.113163,3.209355
29,1000,0.994653,0.000070,3000,7000,5.131320,3.290983
30,1000,0.994721,0.000068,3000,7000,5.235631,3.402657
31,1000,0.994402,0.000072,3000,7000,5.339639,3.510546
32,1000,0.994040,0.000075,3000,7000,5.309080,3.669415
33,1000,0.993853,0.000080,3000,7000,5.407274,3.712829
34,1000,0.993781,0.000077,3000,7000,5.580180,3.708283
35,1000,0.993520,0.000080,3000,7000,5.697154,3.759956
36,1000,0.993291,0.000083,3000,7000,5.699943,3.906369
37,1000,0.993023,0.000083,3000,7000,5.823842,4.069156
38,1000,0.992950,0.000086,3000,7000,5.898803,4.193813
39,1000,0.992944,0.000086,3000,7000,5.996293,4.161578
40,1000,0.992692,0.000089,3000,7000,6.136307,4.241955
41,1000,0.992631,0.000086,3000,7000,6.272802,4.290273
42,1000,0.992482,0.000087,3000,7000,6.320415,4.377099
43,1000,0.992064,0.000090,3000,7000,6.374546,4.506978
44,1000,0.992282,0.000091,3000,7000,6.455921,4.469648
45,1000,0.992222,0.000094,3000,7000,6.560884,4.578918
46,1000,0.992242,0.000095,3000,7000,6.724951,4.549540
47,1000,0.992511,0.000096,3000,7000,6.835076,4.521716
48,1000,0.991905,0.000101,3000,7000,6.947035,4.756779
49,1000,0.991443,0.000106,3000,7000,6.970716,4.873814
50,1000,0.991577,0.000115,3000,7000,6.942394,4.982997
